CarCount,BikeCount,BusCount,TruckCount,Total
130,88,12,123,353
131,13,85,103,332
121,61,95,60,337
24,132,54,114,324
41,47,98,140,326
62,67,14,70,213
9,19,61,30,119
78,79,116,29,302
132,30,136,45,343
27,49,125,64,265
92,49,77,52,270
10,60,8,107,185
52,120,71,108,351
132,11,82,146,371
36,137,96,137,406
85,44,141,4,274
146,99,9,79,333
146,141,69,12,368
41,99,103,67,310
30,142,31,19,222
120,8,78,29,235
113,32,33,141,319
10,75,69,122,276
1,88,55,57,201
117,18,51,53,239
39,150,146,13,348
134,59,6,139,338
35,9,90,54,188
125,105,93,13,336
131,10,142,13,296
118,79,140,77,414
49,19,33,74,175
9,12,58,2,81
74,46,123,68,311
127,37,13,38,215
22,128,54,42,246
24,84,84,127,319
74,125,25,46,270
4,102,149,10,265
102,70,76,24,272
2,17,110,106,235
29,63,47,105,244
48,135,7,10,200
65,91,121,108,385
87,76,107,107,377
70,11,28,45,154
87,28,99,89,303
102,123,115,80,420
15,114,61,133,323
112,19,21,148,300
149,112,19,32,312
86,30,133,124,373
131,146,51,139,467
90,64,53,146,353
27,41,56,23,147
82,76,13,132,303
37,6,94,118,255
11,10,150,150,321
124,65,104,15,308
28,102,5,40,175
76,46,63,3,188
32,118,86,98,334
149,51,19,138,357
128,72,88,56,344
14,71,65,117,267
114,101,147,119,481
9,100,10,19,138
85,92,22,93,292
107,53,7,146,313
84,50,130,128,392
108,77,20,28,233
60,123,43,64,290
63,107,60,94,324
93,26,42,91,252
86,69,28,8,191
41,19,131,108,299
39,146,78,95,358
8,115,9,42,174
137,124,52,124,437
99,16,4,12,131
54,99,65,52,270
144,39,20,145,348
100,74,65,44,283
135,59,114,55,363
146,1,104,84,335
60,8,84,45,197
115,135,53,82,385
100,57,89,71,317
110,74,113,17,314
121,109,132,76,438
54,145,41,39,279
80,78,27,23,208
134,121,146,55,456
109,134,67,103,413
41,12,114,3,170
42,31,127,9,209
130,46,64,119,359
21,142,108,63,334
64,104,77,18,263
130,118,122,3,373
45,67,120,34,266
11,28,36,23,98
70,50,89,71,280
2,120,6,12,140
103,144,19,63,329
147,24,83,99,353
40,111,60,28,239
51,68,141,130,390
105,60,11,100,276
125,31,22,15,193
124,136,55,82,397
112,33,59,74,278
88,2,36,13,139
136,85,9,12,242
31,144,48,71,294
113,29,54,83,279
35,48,87,63,233
12,105,65,119,301
78,61,120,48,307
142,75,50,104,371
15,77,81,65,238
77,104,83,68,332
128,51,143,100,422
72,33,4,85,194
119,66,117,132,434
4,16,23,122,165
109,147,41,47,344
79,65,79,6,229
65,95,56,146,362
131,143,148,79,501
143,79,66,57,345
71,60,48,150,329
148,46,28,109,331
141,81,22,28,272
11,147,113,33,304
149,91,34,30,304
122,94,50,59,325
22,146,120,106,394
132,14,81,81,308
35,2,1,102,140
81,96,62,25,264
6,33,138,71,248
73,99,28,123,323
74,115,105,67,361
128,144,117,87,476
72,24,122,12,230
67,95,91,101,354
126,97,97,94,414
116,55,127,92,390
63,103,42,36,244
140,102,113,62,417
48,119,126,5,298
116,30,14,135,295
133,48,91,53,325
142,105,57,98,402
97,5,69,1,172
8,23,76,40,147
57,78,99,23,257
5,121,69,123,318
77,137,72,38,324
97,51,30,142,320
99,90,37,17,243
107,128,134,31,400
59,110,143,43,355
32,111,45,82,270
51,51,36,61,199
75,94,102,107,378
131,21,108,145,405
54,17,122,42,235
57,87,147,105,396
27,12,49,52,140
96,143,132,13,384
143,83,18,40,284
21,92,137,128,378
131,133,134,72,470
26,149,28,135,338
10,13,56,99,178
96,100,142,129,467
98,113,19,111,341
78,116,19,140,353
90,65,9,95,259
142,63,133,128,466
9,134,9,16,168
69,144,119,138,470
105,146,5,54,310
61,92,69,3,225
108,11,41,95,255
16,58,127,62,263
68,69,102,122,361
56,19,88,107,270
61,16,121,35,233
61,17,109,124,311
127,31,76,31,265
5,68,42,82,197
89,115,137,8,349
41,124,141,89,395
117,75,93,56,341
16,14,144,47,221
121,136,102,64,423
147,70,91,136,444
138,86,23,113,360
100,100,80,34,314
142,26,137,89,394
47,28,39,48,162
103,26,20,36,185
36,25,3,58,122
73,124,42,82,321
123,34,97,105,359
71,56,117,35,279
124,94,36,76,330
131,123,150,57,461
140,146,52,147,485
77,49,138,91,355
32,119,6,15,172
29,91,102,59,281
15,92,129,30,266
42,79,125,1,247
57,103,27,124,311
22,112,96,82,312
103,107,147,128,485
83,12,86,47,228
48,114,129,3,294
63,106,141,110,420
84,29,62,129,304
127,42,15,146,330
114,53,118,89,374
98,127,80,112,417
46,11,41,28,126
14,131,105,103,353
120,97,113,63,393
27,55,103,95,280
27,107,78,41,253
134,123,12,58,327
67,38,39,82,226
143,102,122,91,458
32,51,128,29,240
32,86,109,51,278
19,80,134,102,335
71,114,137,13,335
147,137,113,116,513
134,35,98,120,387
141,44,84,88,357
27,30,122,25,204
18,37,83,35,173
38,81,90,101,310
21,128,66,98,313
68,128,12,80,288
130,45,134,7,316
37,71,113,134,355
137,60,93,60,350
32,138,48,16,234
45,99,70,50,264
53,35,23,150,261
56,122,84,128,390
68,52,39,34,193
82,24,7,85,198
64,35,61,119,279
112,114,43,49,318
129,47,27,103,306
85,145,149,121,500
109,59,64,31,263
1,81,77,140,299
24,30,27,125,206
46,9,16,27,98
26,43,56,125,250
147,125,127,147,546
14,101,72,98,285
18,139,65,119,341
46,83,23,20,172
60,119,95,35,309
89,75,68,96,328
143,9,62,10,224
115,138,93,46,392
24,121,73,4,222
39,34,107,111,291
121,128,107,51,407
137,143,24,33,337
132,1,110,64,307
140,24,86,99,349
79,125,124,76,404
50,47,33,11,141
95,109,48,48,300
125,84,134,150,493
95,76,132,9,312
121,12,132,79,344
4,82,15,63,164
82,86,97,64,329
120,97,57,110,384
137,92,96,62,387
138,140,62,46,386
140,40,36,48,264
122,111,104,52,389
66,142,70,2,280
119,105,132,62,418
145,34,18,7,204
1,134,116,14,265
7,78,15,33,133
13,141,36,91,281
87,129,61,35,312
85,23,62,134,304
123,101,31,7,262
42,33,85,109,269
11,119,56,36,222
82,122,40,7,251
13,5,147,11,176
25,8,108,107,248
150,30,101,149,430
3,95,103,118,319
135,89,4,88,316
81,55,89,82,307
27,92,36,26,181
60,92,77,106,335
66,26,2,142,236
1,35,64,143,243
44,121,123,53,341
7,131,130,80,348
40,131,16,2,189
29,64,45,107,245
133,60,57,104,354
140,142,105,148,535
70,50,34,150,304
40,133,62,33,268
147,114,17,29,307
1,7,25,95,128
114,30,112,113,369
111,139,72,138,460
71,13,38,61,183
103,29,77,60,269
3,89,12,5,109
84,122,28,130,364
81,120,106,65,372
40,35,95,60,230
104,26,138,47,315
13,93,113,87,306
129,124,78,54,385
30,16,21,54,121
67,58,49,89,263
63,35,2,125,225
117,140,105,52,414
42,61,61,28,192
141,14,37,64,256
61,92,136,38,327
143,14,120,140,417
111,6,150,81,348
47,123,12,102,284
73,135,20,12,240
138,97,124,98,457
52,55,28,126,261
2,118,105,101,326
104,113,146,105,468
80,102,43,129,354
84,8,20,90,202
12,56,73,27,168
97,29,8,30,164
68,66,119,22,275
35,131,31,33,230
5,81,41,6,133
43,18,143,126,330
63,99,80,134,376
5,12,38,54,109
40,40,125,95,300
104,76,134,130,444
15,117,90,47,269
94,95,67,105,361
23,112,60,5,200
105,90,110,82,387
92,13,51,35,191
10,2,47,86,145
117,125,121,101,464
7,92,126,35,260
90,147,136,95,468
66,91,68,100,325
114,64,124,132,434
146,19,17,38,220
34,19,102,114,269
10,128,54,77,269
36,62,122,23,243
17,92,140,66,315
3,42,134,30,209
69,57,76,35,237
101,98,42,92,333
105,58,87,68,318
47,22,114,126,309
50,84,118,146,398
66,129,5,81,281
79,66,86,66,297
74,73,46,40,233
107,42,148,11,308
121,11,60,146,338
1,103,51,116,271
91,45,105,43,284
86,76,51,95,308
39,44,135,13,231
129,114,53,38,334
130,143,80,5,358
15,9,66,11,101
106,60,123,81,370
81,5,7,120,213
51,10,40,4,105
14,132,136,50,332
2,8,48,149,207
61,44,111,146,362
52,139,67,126,384
103,7,140,55,305
89,89,24,54,256
1,9,105,34,149
118,78,131,96,423
102,14,96,88,300
71,12,52,74,209
35,11,38,134,218
114,111,1,39,265
43,100,117,35,295
89,76,19,131,315
19,53,85,17,174
21,103,28,84,236
77,119,16,48,260
127,15,108,112,362
39,125,67,123,354
135,90,85,110,420
11,109,68,115,303
78,76,27,40,221
117,60,64,26,267
101,127,56,115,399
107,13,50,42,212
111,116,138,143,508
100,34,62,33,229
105,74,133,31,343
41,47,24,25,137
37,115,69,127,348
139,104,101,18,362
13,38,74,147,272
99,117,135,134,485
10,79,140,121,350
124,14,145,63,346
135,47,77,26,285
133,15,123,85,356
52,46,17,134,249
119,65,53,33,270
113,13,88,121,335
61,7,75,37,180
24,121,27,104,276
81,116,46,14,257
39,46,147,16,248
29,76,119,51,275
71,40,17,77,205
3,75,68,124,270
17,106,24,64,211
84,90,50,48,272
102,21,87,112,322
37,67,4,120,228
116,81,32,125,354
52,129,8,76,265
6,69,62,81,218
149,91,6,107,353
77,83,148,44,352
8,138,12,47,205
96,78,47,39,260
83,29,143,76,331
31,84,107,55,277
5,53,127,97,282
90,110,120,93,413
13,34,66,66,179
67,2,68,124,261
47,131,106,9,293
95,124,82,133,434
146,149,44,57,396
136,51,143,146,476
71,100,142,16,329
88,36,137,71,332
49,32,142,86,309
79,32,50,142,303
103,12,121,110,346
86,102,142,8,338
59,145,146,138,488
149,129,125,90,493
22,40,28,12,102
52,48,41,38,179
70,60,88,53,271
71,34,2,140,247
50,30,124,111,315
83,30,56,75,244
141,15,15,142,313
46,17,13,134,210
122,95,32,70,319
28,10,122,29,189
48,90,7,8,153
4,56,9,117,186
42,124,22,75,263
2,58,24,107,191
136,27,99,92,354
83,61,15,1,160
58,121,118,37,334
131,112,109,121,473
149,146,125,76,496
130,34,125,145,434
86,4,34,107,231
103,10,71,109,293
66,148,128,82,424
26,8,10,115,159
116,133,5,45,299
16,133,30,18,197
75,32,77,72,256
3,111,79,129,322
56,74,98,100,328
7,27,65,120,219
60,56,54,40,210
74,99,100,115,388
148,92,48,33,321
38,97,133,64,332
99,113,66,147,425
124,104,121,85,434
45,132,97,4,278
84,49,75,129,337
40,94,54,139,327
106,122,71,121,420
42,87,5,8,142
129,77,93,53,352
33,96,26,56,211
122,28,144,8,302
47,144,28,99,318
145,18,55,132,350
10,33,33,71,147
79,87,147,35,348
90,7,100,147,344
96,143,43,119,401
26,73,110,96,305
88,5,118,11,222
138,83,141,22,384
143,77,104,78,402
20,77,18,52,167
105,116,130,94,445
100,105,111,41,357
122,57,108,35,322
50,108,110,56,324
62,14,26,100,202
138,4,2,53,197
135,53,105,71,364
92,2,112,122,328
25,136,137,99,397
69,30,112,97,308
140,123,18,71,352
78,102,70,112,362
61,121,91,27,300
5,133,13,110,261
141,110,139,80,470
80,89,13,104,286
133,74,66,39,312
82,126,26,132,366
34,85,138,37,294
119,2,8,1,130
99,4,119,8,230
1,57,117,150,325
88,28,147,11,274
63,45,143,71,322
49,91,55,99,294
24,50,90,16,180
74,31,135,18,258
6,87,38,17,148
106,77,110,110,403
27,3,121,74,225
149,100,63,135,447
99,37,1,36,173
45,97,39,40,221
41,114,90,138,383
77,19,114,127,337
4,54,143,149,350
141,79,69,66,355
28,102,11,131,272
118,40,56,34,248
60,33,26,37,156
27,35,70,129,261
28,23,49,125,225
3,124,102,12,241
94,86,45,81,306
38,66,103,56,263
62,150,105,89,406
14,35,2,146,197
98,4,137,55,294
2,99,9,50,160
43,142,93,131,409
66,18,56,106,246
100,53,59,2,214
24,26,106,119,275
94,94,105,4,297
132,13,25,138,308
100,97,63,143,403
133,29,43,56,261
65,76,25,62,228
22,6,58,78,164
115,63,10,39,227
107,111,40,85,343
115,134,127,63,439
140,85,8,122,355
56,48,32,83,219
103,42,44,47,236
68,47,37,118,270
83,3,12,126,224
82,149,5,29,265
82,40,124,141,387
27,15,94,11,147
70,124,22,135,351
9,40,96,3,148
86,53,52,98,289
15,116,137,93,361
150,60,55,4,269
80,96,131,15,322
28,38,49,16,131
67,117,111,139,434
27,99,146,89,361
29,127,40,2,198
9,77,69,19,174
124,103,130,50,407
85,106,46,39,276
132,117,95,150,494
1,47,23,96,167
50,99,81,4,234
89,130,120,139,478
115,13,5,80,213
47,91,82,116,336
90,89,90,45,314
34,58,37,14,143
108,92,9,64,273
18,92,44,143,297
39,71,68,115,293
9,2,131,81,223
7,133,143,32,315
93,123,25,104,345
38,17,122,42,219
72,45,100,84,301
78,27,48,96,249
67,66,53,51,237
63,108,104,126,401
97,30,132,92,351
1,34,12,58,105
15,131,40,81,267
5,3,133,132,273
45,135,49,98,327
113,112,66,29,320
74,40,29,71,214
46,136,36,49,267
90,24,22,133,269
120,56,110,51,337
72,84,115,109,380
65,95,130,54,344
84,98,103,6,291
14,67,47,92,220
59,140,139,33,371
63,38,124,62,287
89,50,114,109,362
3,57,56,137,253
120,33,126,131,410
114,105,80,33,332
19,110,81,110,320
116,87,28,69,300
141,148,62,8,359
34,6,32,146,218
123,101,51,3,278
1,43,36,50,130
48,126,116,112,402
57,41,130,28,256
31,34,140,141,346
73,122,38,129,362
91,28,77,27,223
136,60,136,32,364
126,92,60,18,296
124,116,73,145,458
42,115,106,56,319
111,117,28,37,293
132,20,120,88,360
46,32,16,38,132
101,108,4,116,329
141,103,148,37,429
146,87,48,135,416
51,2,127,118,298
76,10,140,139,365
95,5,137,127,364
112,118,42,38,310
66,78,86,9,239
13,126,11,31,181
85,109,21,137,352
94,4,112,37,247
36,49,66,11,162
78,53,16,80,227
61,35,40,64,200
137,48,26,93,304
110,80,101,46,337
104,137,83,71,395
40,63,39,20,162
150,44,77,1,272
54,80,67,20,221
67,19,27,50,163
150,128,70,42,390
88,143,45,18,294
54,22,136,26,238
4,76,135,41,256
73,30,101,96,300
146,70,76,67,359
49,33,116,73,271
6,66,71,108,251
63,55,49,8,175
93,91,80,134,398
124,92,117,44,377
51,127,60,113,351
147,92,140,100,479
65,33,69,11,178
108,32,37,73,250
16,38,141,59,254
40,54,147,4,245
148,136,10,77,371
69,116,143,53,381
103,36,135,69,343
47,57,39,121,264
32,98,116,111,357
26,65,119,136,346
96,34,63,70,263
11,134,79,53,277
138,90,5,28,261
79,61,82,80,302
2,81,78,66,227
97,36,42,100,275
78,46,33,124,281
131,66,98,26,321
124,48,77,31,280
106,58,121,124,409
30,111,4,86,231
98,14,56,85,253
100,74,130,107,411
103,132,46,18,299
94,121,136,123,474
20,67,33,45,165
77,56,29,137,299
2,56,73,139,270
147,10,107,42,306
92,115,19,138,364
58,99,1,35,193
143,97,121,133,494
81,24,138,67,310
87,26,145,88,346
15,42,108,8,173
114,136,110,134,494
125,9,78,5,217
56,108,33,3,200
108,140,128,45,421
147,52,19,131,349
88,127,63,28,306
87,121,58,4,270
133,88,128,75,424
56,19,50,132,257
10,146,93,111,360
33,68,42,7,150
49,41,54,73,217
23,98,116,127,364
82,37,55,125,299
65,112,40,133,350
73,65,117,72,327
150,33,74,118,375
147,71,28,19,265
43,24,74,138,279
85,100,80,87,352
64,29,103,68,264
45,13,64,30,152
60,85,57,35,237
24,142,102,70,338
14,54,143,144,355
86,55,99,50,290
112,92,146,128,478
122,107,46,101,376
64,101,46,150,361
104,81,25,46,256
99,101,115,66,381
112,76,35,71,294
68,30,115,126,339
69,82,112,125,388
111,125,12,3,251
56,141,101,22,320
102,37,133,29,301
140,63,32,30,265
51,134,84,136,405
90,98,41,51,280
87,35,118,17,257
96,125,14,148,383
124,74,61,108,367
113,64,40,68,285
146,135,99,31,411
51,14,55,92,212
62,45,79,80,266
107,75,78,122,382
44,105,82,117,348
54,47,35,127,263
111,89,93,107,400
145,39,60,30,274
71,118,31,33,253
34,38,47,34,153
5,39,150,4,198
50,31,107,3,191
150,57,100,6,313
3,18,139,26,186
132,8,119,65,324
105,17,98,118,338
103,39,25,112,279
72,52,64,110,298
110,96,130,118,454
33,2,131,145,311
97,63,67,78,305
100,5,68,7,180
24,57,9,14,104
41,41,3,123,208
144,57,60,15,276
121,58,82,21,282
150,43,99,78,370
143,51,122,111,427
122,58,142,114,436
129,107,135,93,464
116,84,77,48,325
128,112,111,119,470
70,42,60,76,248
117,126,132,6,381
68,79,129,54,330
121,64,86,128,399
134,14,37,136,321
51,6,130,39,226
85,28,24,8,145
17,60,16,78,171
114,13,116,21,264
77,28,139,4,248
50,11,118,75,254
31,13,108,51,203
122,103,28,102,355
104,34,3,39,180
14,41,26,16,97
62,143,118,85,408
147,5,48,106,306
18,114,108,123,363
96,140,92,104,432
2,24,90,1,117
122,135,54,5,316
136,114,116,67,433
110,50,5,74,239
73,64,38,130,305
143,78,86,97,404
23,86,130,75,314
78,61,72,79,290
128,122,88,41,379
47,98,30,34,209
8,52,46,149,255
125,132,103,103,463
49,59,31,97,236
106,48,137,127,418
31,64,104,135,334
142,10,19,149,320
128,46,49,113,336
140,46,2,132,320
113,66,124,106,409
100,23,135,125,383
20,76,6,121,223
63,28,136,98,325
145,24,71,124,364
51,83,81,62,277
102,69,23,87,281
150,13,66,67,296
123,38,92,38,291
21,76,7,15,119
131,98,33,145,407
45,93,93,149,380
140,34,10,113,297
132,100,20,85,337
91,77,62,106,336
37,100,54,143,334
99,63,38,102,302
4,70,95,30,199
20,83,15,9,127
129,140,145,135,549
57,99,69,88,313
54,13,119,39,225
127,144,59,65,395
134,44,15,126,319
24,60,139,89,312
44,30,72,47,193
103,2,57,132,294
45,104,34,31,214
57,89,70,75,291
104,110,100,87,401
149,66,7,141,363
62,55,5,98,220
37,82,34,97,250
33,53,133,110,329
42,23,24,74,163
27,25,128,36,216
3,120,53,33,209
35,81,3,76,195
120,127,65,69,381
25,77,100,98,300
19,99,17,41,176
42,63,70,1,176
53,86,46,140,325
131,67,72,121,391
55,99,85,55,294
137,113,45,17,312
118,54,4,32,208
89,27,92,118,326
108,58,137,48,351
58,11,123,102,294
37,9,39,131,216
59,139,39,93,330
72,27,47,138,284
25,28,48,39,140
125,77,83,81,366
52,70,143,79,344
68,31,88,81,268
150,98,123,73,444
94,18,5,61,178
1,133,4,45,183
30,8,105,41,184
97,125,62,67,351
121,8,25,140,294
140,66,127,48,381
39,136,107,42,324
113,123,55,119,410
95,113,117,71,396
136,76,38,121,371
144,44,124,33,345
11,20,84,56,171
2,99,73,98,272
86,81,86,8,261
76,68,147,124,415
73,60,14,61,208
112,79,48,61,300
86,24,85,10,205
36,108,1,95,240
60,47,51,129,287
145,3,110,112,370
73,82,132,128,415
124,85,49,9,267
85,112,59,30,286
84,132,104,79,399
120,49,83,112,364
136,109,32,144,421
58,88,68,80,294
60,124,77,3,264
6,27,107,33,173
34,130,84,91,339
106,114,67,26,313
23,108,136,123,390
139,114,145,36,434
102,149,10,106,367
76,60,35,128,299
34,65,98,38,235
126,67,46,20,259
3,26,129,85,243
99,2,7,35,143
18,125,81,105,329
23,139,31,117,310
50,10,138,103,301
80,143,46,139,408
110,31,23,134,298
7,105,52,43,207
65,121,50,114,350
38,126,77,71,312
31,77,82,7,197
94,72,45,82,293
144,53,73,60,330
118,65,104,93,380
1,13,118,115,247
39,74,36,113,262
46,25,28,50,149
30,117,135,31,313
145,140,105,34,424
132,144,99,104,479
97,73,74,122,366
142,97,70,125,434
69,94,96,94,353
4,79,88,45,216
50,119,97,111,377
69,61,74,61,265
111,90,20,57,278
132,102,117,104,455
26,137,139,39,341
33,96,71,61,261
149,126,37,136,448
33,73,78,112,296
3,148,132,58,341
98,139,58,63,358
145,133,5,30,313
146,84,126,69,425
23,50,7,139,219
137,3,112,95,347
21,107,86,60,274
82,31,74,17,204
65,145,126,121,457
62,51,106,72,291
93,36,60,8,197
13,120,10,4,147
34,24,125,115,298
52,43,80,107,282
106,98,74,52,330
94,71,39,122,326
45,11,143,105,304
4,87,3,80,174
81,144,67,20,312
120,17,49,21,207
40,3,25,52,120
132,15,5,28,180
126,113,28,128,395
135,22,6,58,221
90,57,77,105,329
72,139,121,21,353
11,49,126,26,212
134,110,3,43,290
5,1,95,82,183
119,94,85,39,337
38,42,56,4,140
26,120,88,53,287
90,57,38,6,191
126,26,31,30,213
2,105,99,147,353
70,105,139,119,433
123,99,22,143,387
84,32,34,145,295
37,5,125,35,202
111,25,28,136,300
114,95,148,85,442
41,70,52,139,302
24,104,98,23,249
97,51,32,144,324
32,84,28,125,269
44,123,84,87,338
74,33,73,149,329
137,1,134,98,370
106,18,16,81,221
2,134,4,43,183
111,74,137,88,410
136,133,146,141,556
65,119,146,74,404
52,30,145,130,357
53,146,80,130,409
91,146,49,126,412
121,9,53,134,317
63,77,53,111,304
19,134,37,23,213
118,56,127,56,357
4,128,83,58,273
142,28,26,66,262
37,33,145,26,241
8,125,59,60,252
98,12,59,13,182
114,136,27,10,287
82,146,14,3,245
119,117,98,74,408
84,58,102,136,380
51,68,23,12,154
87,33,13,37,170
2,90,31,69,192
131,18,104,90,343
81,112,132,147,472
6,19,24,136,185
129,147,144,63,483
141,76,50,17,284
120,38,73,23,254
60,53,112,79,304
81,113,10,111,315
10,127,73,71,281
31,71,84,43,229
60,150,52,75,337
142,87,118,144,491
133,125,106,101,465
136,89,60,66,351
78,112,110,128,428
115,89,112,60,376
53,35,15,100,203
125,97,47,88,357
143,77,122,79,421
53,18,123,57,251
145,112,132,94,483
137,87,147,113,484
79,35,1,64,179
74,116,75,144,409
15,148,117,65,345
74,69,6,142,291
30,36,138,47,251
63,148,7,29,247
17,45,55,72,189
143,139,72,49,403
7,28,46,133,214
132,104,96,100,432
56,53,117,119,345
43,37,31,29,140
109,102,51,89,351
78,146,140,5,369
93,138,121,86,438
3,49,48,67,167
79,132,5,138,354
52,53,139,106,350
116,59,8,35,218
89,132,50,78,349
113,52,75,130,370
72,29,119,137,357
40,85,9,105,239
93,50,146,130,419
125,125,147,135,532
32,51,29,107,219
43,57,138,97,335
136,114,9,56,315
47,123,85,140,395
137,22,116,9,284
145,131,102,54,432
52,67,5,133,257
76,41,1,74,192
79,13,41,111,244
108,146,121,131,506
133,38,101,79,351
125,105,140,104,474
64,59,109,39,271
111,129,109,73,422
54,84,81,91,310
115,52,117,45,329
46,7,80,57,190
40,144,59,131,374
47,105,11,116,279
50,118,103,18,289
26,67,72,123,288
63,150,8,148,369
102,116,56,33,307
61,129,97,100,387
100,120,45,80,345
49,11,83,99,242
44,105,83,147,379
85,104,134,129,452
24,4,35,121,184
36,53,51,40,180
